vehicle.make,vehicle.model,vehicle.year,vehicle.type,fuelType,reviewCount,rating,location.city
Honda,Pilot,2019,suv,GASOLINE,3,5.0,Cedar Park
GMC,Yukon,2012,suv,GASOLINE,14,5.0,Austin
Audi,A4,2016,car,GASOLINE,41,4.98,Austin
Honda,Odyssey,2020,minivan,GASOLINE,1,5.0,Cedar Park
Jeep,Wrangler,2018,suv,GASOLINE,10,5.0,Dripping Springs
Hyundai,Santa Fe,2013,suv,GASOLINE,30,5.0,Austin
Toyota,Supra,2020,car,GASOLINE,49,4.98,Austin
Cadillac,CTS Coupe,2011,car,GASOLINE,15,5.0,Austin
Toyota,Tacoma,2018,truck,GASOLINE,8,5.0,Austin
GMC,Acadia,2015,suv,GASOLINE,15,5.0,Austin
Toyota,Highlander,2019,suv,GASOLINE,30,5.0,Austin
Toyota,Highlander,2019,suv,GASOLINE,19,5.0,Austin
Jeep,Wrangler,2017,suv,GASOLINE,13,5.0,Austin
Jeep,Wrangler,2015,suv,GASOLINE,5,5.0,Austin
Audi,A5,2018,car,GASOLINE,3,5.0,Pflugerville
Jeep,Wrangler,2016,suv,GASOLINE,12,4.75,Austin
Lincoln,Navigator,2015,suv,GASOLINE,0,,Austin
Chevrolet,Tahoe,2011,suv,GASOLINE,3,5.0,Austin
Lexus,NX 200t,2015,suv,GASOLINE,1,5.0,Austin
Land Rover,Range Rover Sport,2018,suv,GASOLINE,0,,Austin
BMW,5 Series,2012,car,GASOLINE,2,5.0,Austin
Subaru,Impreza,2012,car,GASOLINE,24,4.88,Austin
Toyota,Camry,2020,car,GASOLINE,22,5.0,Austin
Toyota,Camry,2017,car,GASOLINE,13,4.92,Austin
Infiniti,QX60,2020,suv,GASOLINE,9,5.0,Austin
Honda,Accord Sedan,2019,car,GASOLINE,5,4.8,Austin
Toyota,Camry,2020,car,GASOLINE,10,4.6,Austin
Honda,Civic Sedan,2019,car,GASOLINE,85,4.98,Austin
Lexus,CT 200h,2015,car,HYBRID,26,5.0,Austin
Hyundai,Sonata,2020,car,GASOLINE,0,,Lakeway
Toyota,Camry,2015,car,GASOLINE,22,5.0,Cedar Park
MINI,Convertible,2018,car,GASOLINE,24,5.0,Lakeway
Toyota,Prius,2013,car,HYBRID,28,5.0,Austin
Subaru,Impreza,2009,car,GASOLINE,37,4.97,Austin
Mazda,Mazda6,2019,car,GASOLINE,0,,Austin
Mazda,CX-5,2014,suv,GASOLINE,0,,Austin
